<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,D,20190427,000000,5170.6000000
GDAX.BTC-USD,D,20190428,000000,5155.0000000
GDAX.BTC-USD,D,20190429,000000,5148.2500000
GDAX.BTC-USD,D,20190430,000000,5270.6900000
GDAX.BTC-USD,D,20190501,000000,5321.1500000
GDAX.BTC-USD,D,20190502,000000,5390.0100000
GDAX.BTC-USD,D,20190503,000000,5657.4000000
GDAX.BTC-USD,D,20190504,000000,5770.0100000
GDAX.BTC-USD,D,20190505,000000,5715.8600000
GDAX.BTC-USD,D,20190506,000000,5687.9000000
GDAX.BTC-USD,D,20190507,000000,5748.4500000
GDAX.BTC-USD,D,20190508,000000,5948.4100000
GDAX.BTC-USD,D,20190509,000000,6153.0900000
GDAX.BTC-USD,D,20190510,000000,6343.1400000
GDAX.BTC-USD,D,20190511,000000,7219.9500000
GDAX.BTC-USD,D,20190512,000000,6979.7600000
GDAX.BTC-USD,D,20190513,000000,7824.9300000
GDAX.BTC-USD,D,20190514,000000,7990.9200000
GDAX.BTC-USD,D,20190515,000000,8203.3200000
GDAX.BTC-USD,D,20190516,000000,7878.9600000
GDAX.BTC-USD,D,20190517,000000,7363.6900000
GDAX.BTC-USD,D,20190518,000000,7262.4000000
GDAX.BTC-USD,D,20190519,000000,8200.0000000
GDAX.BTC-USD,D,20190520,000000,7999.5400000
GDAX.BTC-USD,D,20190521,000000,7951.7000000
GDAX.BTC-USD,D,20190522,000000,7626.4800000
GDAX.BTC-USD,D,20190523,000000,7881.9800000
GDAX.BTC-USD,D,20190524,000000,8001.7000000
GDAX.BTC-USD,D,20190525,000000,8063.8100000
GDAX.BTC-USD,D,20190526,000000,8731.7200000
GDAX.BTC-USD,D,20190527,000000,8772.2900000
GDAX.BTC-USD,D,20190528,000000,8715.3600000
GDAX.BTC-USD,D,20190529,000000,8662.4400000
GDAX.BTC-USD,D,20190530,000000,8279.6900000
GDAX.BTC-USD,D,20190531,000000,8554.0600000
GDAX.BTC-USD,D,20190601,000000,8558.9500000
GDAX.BTC-USD,D,20190602,000000,8736.5500000
GDAX.BTC-USD,D,20190603,000000,8107.9600000
GDAX.BTC-USD,D,20190604,000000,7670.9600000
GDAX.BTC-USD,D,20190605,000000,7789.4800000
GDAX.BTC-USD,D,20190606,000000,7805.0000000
GDAX.BTC-USD,D,20190607,000000,7998.1300000
GDAX.BTC-USD,D,20190608,000000,7930.1400000
GDAX.BTC-USD,D,20190609,000000,7634.5800000
GDAX.BTC-USD,D,20190610,000000,8015.6900000
GDAX.BTC-USD,D,20190611,000000,7918.1700000
GDAX.BTC-USD,D,20190612,000000,8176.0200000
GDAX.BTC-USD,D,20190613,000000,8239.0400000
GDAX.BTC-USD,D,20190614,000000,8697.4600000
GDAX.BTC-USD,D,20190615,000000,8860.2300000
GDAX.BTC-USD,D,20190616,000000,8975.0000000
GDAX.BTC-USD,D,20190617,000000,9333.1400000
GDAX.BTC-USD,D,20190618,000000,9078.4800000
GDAX.BTC-USD,D,20190619,000000,9277.5400000
GDAX.BTC-USD,D,20190620,000000,9531.2100000
GDAX.BTC-USD,D,20190621,000000,10236.2000000
GDAX.BTC-USD,D,20190622,000000,10666.8600000
GDAX.BTC-USD,D,20190623,000000,10833.0200000
GDAX.BTC-USD,D,20190624,000000,11032.3200000
